tyurtyryeryetyertw
1,Virat Kohli,India,Batsman,200
2,Kane Williamson,New Zealand,Batsman,150
3,Steve Smith,Australia,Batsman,120
4,Joe Root,England,Batsman,100
5,Babar Azam,Pakistan,Batsman,180
6,David Warner,Australia,Batsman,160
7,KL Rahul,India,Batsman,140
8,Rohit Sharma,India,Batsman,200
9,Shikhar Dhawan,India,Batsman,120
10,Aaron Finch,Australia,Batsman,100
11,Quinton de Kock,South Africa,Wicket Keeper,150
12,Jonny Bairstow,England,Wicket Keeper,130
13,Rishabh Pant,India,Wicket Keeper,180
14,Jos Buttler,England,Wicket Keeper,160
15,MS Dhoni,India,Wicket Keeper,120
16,Kusal Perera,Sri Lanka,Wicket Keeper,100
17,AB de Villiers,South Africa,Batsman/Wicket Keeper,200
18,Kieron Pollard,West Indies,All-Rounder,150
19,Andre Russell,West Indies,All-Rounder,140
20,Shakib Al Hasan,Bangladesh,All-Rounder,180
21,Hardik Pandya,India,All-Rounder,160
22,Ben Stokes,England,All-Rounder,200
23,Chris Woakes,England,All-Rounder,120
24,Dwayne Bravo,West Indies,All-Rounder,100
25,Imran Tahir,South Africa,Bowler,150
26,Yuzvendra Chahal,India,Bowler,130
27,Rashid Khan,Afghanistan,Bowler,180
28,Mohammad Amir,Pakistan,Bowler,160
29,Pat Cummins,Australia,Bowler,200
30,Kagiso Rabada,South Africa,Bowler,120
31,Jasprit Bumrah,India,Bowler,140
32,Trent Boult,New Zealand,Bowler,100
33,Mitchell Starc,Australia,Bowler,200
34,Ravindra Jadeja,India,All-Rounder,Bowler,180
35,Sunil Narine,West Indies,Bowler,150
36,Ravichandran Ashwin,India,Bowler,140
37,Kuldeep Yadav,India,Bowler,160
38,Mohammed Shami,India,Bowler,120
39,Josh Hazlewood,Australia,Bowler,100
40,Chris Gayle,West Indies,Batsman,200
41,Hashim Amla,South Africa,Batsman,150
42,Faf du Plessis,South Africa,Batsman,140
43,Devon Conway,New Zealand,Batsman,180
44,Eoin Morgan,England,Batsman,160
45,Shreyas Iyer,India,Batsman,120
46,Tamim Iqbal,Bangladesh,Batsman,100
47,Dawid Malan,England,Batsman,200
48,Colin Munro,New Zealand,Batsman,150
49,Alex Carey,Australia, Wicket Keeper,180
